amenities,amenity
amenities,services
atmosphere,atmosphere
atmosphere,ambiance
atmosphere,light
atmosphere,lighting
atmosphere,music
bar,bar
bar,bartender
bathrooms,bathroom
bathrooms,bath
bathrooms,bathtub
bathrooms,shampoo
bathrooms,shower
bathrooms,towel
bathrooms,tub
bedrooms,bedroom
bedrooms,bed
bedrooms,pillow
bedrooms,sheet
bedrooms,sleep
bedrooms,suite
booking,booking
booking,book
booking,reservation
booking,reserve
breakfast,breakfast
breakfast,morning
breakfast,toast
breakfast,morning meal
breakfast,morning menu
building,building
building,architecture
building,buildings
building,decor
building,decoration
building,furniture
building,garden
building,hall
building,lobby
building,lounge
building,patio
building,salon
building,spot
checking,checkin
checking,check-in
checking,check in
checking,check out
checking,checking
checking,checkout
checking,check-out
checking,check
checking,registration
cleanliness,clean
cleanliness,dirt
cleanliness,smell
coffee,coffee
coffee,cafe
coffee,tea
cuisine,cuisine
cuisine,dishe
cuisine,food
cuisine,meal
cuisine,menu
cuisine,plate
cuisine,buffet
dinner,dinner
dinner,evening meal
dinner,evening menu
dinner,night meal
dinner,night menu
drinks,drink
drinks,beer
drinks,wine
events,event
events,activity
events,party
events,trip
facilities,facility
facilities,equipment
gym,gym
internet,internet
internet,wifi
internet,wireless
location,location
location,beach
location,environment
location,lake
location,landscape
location,mountain
location,neighborhood
location,neighbourhood
location,river
location,situation
location,street
location,surrounding
location,tree
location,valley
location,view
lunch,lunch
lunch,afternoon meal
lunch,afternoon menu
lunch,noon meal
lunch,noon menu
parking,parking
pool,pool
pool,swimming
pool,swimming pool
pool,swimmingpool
price,price
price,pricing
price,budget
price,charge
price,cost
price,fee
price,money
restaurant,restaurant
restrooms,restroom
restrooms,toilet
service,service
service,serving
service,attention
service,attitude
service,server
shopping,shopping
shopping,shop
shopping,store
shopping,boutique
shopping,mall
spa,spa
spa,sauna
spa,jacuzzi
staff,staff
staff,worker
staff,bellhop
staff,boss
staff,cashier
staff,employee
staff,hostess
staff,manager
staff,owner
staff,patron
staff,receptionist
temperature,temperature
transportation,transport
transportation,transportation
transportation,bus
transportation,cab
transportation,car
transportation,metro
transportation,shuttle
transportation,subway
transportation,taxi
transportation,train
transportation,tube
transportation,vehicle
